addr_street,number_of_parks
234 26 STREET,4
234 AINSLIE STREET,11
234 EAST 23 STREET,12
234 EAST 33 STREET,14
234 EAST 50 STREET,5
234 EAST 70 STREET,1
234 EAST 81 STREET,1
234 SKILLMAN AVE,9
234 WEST 135 STREET,11
234 WEST 148 STREET,10
2345 OCEAN AVENUE,3
235 73 STREET,2
235 74 STREET,2
235 COVERT STREET,4
235 CUMBERLAND STREET,10
235 EAST 111 STREET,12
235 EAST 35 STREET,13
235 EAST 40 STREET,2
235 EAST 44 STREET,3
235 EAST 46 STREET,2
235 JEFFERSON AVENUE,3
235 LENOX AVENUE,12
235 SEAMAN AVENUE,7
235 SOUTH 4 STREET,9
235 WEST 100 STREET,8
235 WEST 146 STREET,11
235 WEST 15 STREET,14
235 WEST 16 STREET,14
235 WEST 18 STREET,13
235 WEST 48 STREET,0
235 WEST 56 STREET,2
235 WEST 70 STREET,16
235 WEST 71 STREET,17
235 WEST END AVENUE,14
2351 82 STREET,2
236 8 STREET,3
236 AINSLIE STREET,12
236 EAST 13 STREET,13
236 EAST 36 STREET,13
236 EAST 47 STREET,3
236 EAST 78 STREET,0
236 ELIZABETH STREET,10
236 HENRY STREET,20
236 MOORE STREET,4
236 STAGG STREET,8
237 8 AVENUE,9
237 CARROLL STREET,10
237 EAST 111TH STREET,13
237 EAST 2 STREET,11
237 EAST 21 STREET,13
237 EAST 5 STREET,14
237 ELDRIDGE STREET,11
237 FROST STREET,11
237 KINGSTON AVENUE,4
237 NORTH 5 STREET,15
237 SULLIVAN STREET,14
237 WEST 137 STREET,8
2370 62 STREET,2
2373 ADAM C POWELL BLVD,10
2375 EAST 3 STREET,1
238 26 STREET,4
238 ALBANY AVENUE,3
238 EAST 111 STREET,13
238 EAST 116 STREET,12
238 EAST 82 STREET,1
238 GARFIELD PLACE,5
238 SACKETT STREET,8
238 SOUTH 2 STREET,8
238 WEST 14 STREET,11
238 WEST END AVENUE,2
239 ASHLAND PLACE,13
239 BANKER STREET,11
239 BLEECKER STREET,16
239 EAST 18 STREET,14
239 EAST 33 STREET,3
239 EAST 73 STREET,1
239 EAST 80 STREET,1
239 EAST 81 STREET,1
239 FLATBUSH AVENUE,9
239 LEONARD STREET,11
239 NORTH 9 STREET,10
239 OCEAN AVENUE,12
239 SOUTH 1 STREET,9
239 UTICA AVENUE,2
239 WEST 105 STREET,9
24 ARLINGTON PLACE,1
24 BAY 40 STREET,4
24 CENTRAL PARK SOUTH,4
24 COOK STREET,7
24 KANE PLACE,5
24 ST MARK'S PLACE,14
24 SUYDAM PLACE,7
24-03 DITMARS BOULEVARD,5
24-05 28 STREET,5
24-11 29 STREET,6
24-12 21 AVENUE,1
24-12 35 STREET,4
24-12 42ND ROAD,6
24-14 23 STREET,5
24-14 27 STREET,5
24-15 36 STREET,1
24-16 23 STREET,5
24-16 36 STREET,3
24-18 36 STREET,3
24-19 41 STREET,1
24-22 36 STREET,3
24-25 29 STREET,5
24-33 38 STREET,1
24-37 41 STREET,1
24-40 38 STREET,1
24-45 27 STREET,6
24-47 44 STREET,1
24-49 27 STREET,7
24-52 44 STREET,1
24-54 37 STREET,3
24-54 38 STREET,1
24-56 44 STREET,1
24-60 27 STREET,8
24-60 32 STREET,5
24-65 38 STREET,1
240 BERKELEY PLACE,6
240 CENTRAL PARK SOUTH,1
240 CROWN STREET,0
240 EAST 13 STREET,13
240 EAST 27 STREET,11
240 EAST 35 STREET,13
240 EAST 46 STREET,2
240 EAST 47 STREET,2
240 EAST 52 STREET,4
240 EAST 76 STREET,1
240 EAST 82 STREET,2
240 FLATBUSH AVENUE,8
240 HULL STREET,5
240 RIVERSIDE BOULEVARD,12
240 SACKETT STREET,9
240 SULLIVAN PLACE,1
240 WEST 112 STREET,10
240 WEST 14 STREET,12
240 WEST 15 STREET,11
240 WEST 73 STREET,17
240 WEST END AVENUE,16
240 WYTHE AVENUE,7
2401 NEWKIRK AVENUE,1
2402 GERRITSEN AVENUE,3
2403 CAMBRELENG AVENUE,8
2408 DEAN STREET,5
2409 TILDEN AVENUE,1
240A SKILLMAN AVENUE,9
241 5 AVENUE,13
241 95 STREET,4
241 ATLANTIC AVENUE,12
241 CARLTON AVENUE,9
241 JEFFERSON STREET,4
241 MIDWOOD STREET,3
241 WEST 100 STREET,8
241 WEST 107 STREET,10
2411 EAST 3 STREET,1
2415 ARTHUR AVENUE,11
2415 NEWKIRK AVENUE,1
242 6 AVENUE,2
242 BRADHURST AVENUE,13
242 DEVOE STREET,9
242 EAST 15 STREET,14
242 EAST 72 STREET,1
242 GREENE AVENUE,6
242 MADISON STREET,5
242 MENAHAN STREET,6
242 SOUTH 2 STREET,8
242 WEST 104 STREET,8
242 WEST 61 STREET,2
2420 GLENWOOD ROAD,2
2425 NOSTRAND AVENUE,3
2427 HOFFMAN STREET,11
243 EAST 33 STREET,3
243 EAST 38 STREET,12
243 HOWARD AVENUE,6
243 SCHOLES STREET,7
243 WEST 60 STREET,17
243 WEST 98 STREET,8
244 EAST 117 STREET,12
244 EAST 13 STREET,13
244 EAST 26 STREET,11
244 EAST 33 STREET,3
244 EAST 46 STREET,2
244 FRANKLIN AVENUE,4
244 GARFIELD PLACE,6
244 HOYT STREET,6
244 MADISON AVENUE,13
244 WEST 106 STREET,9
244 WEST 137 STREET,8
244 WEST 4 STREET,19
244 WEST 72 STREET,16
2449 OCEAN AVENUE,3
245 89 STREET,1
245 96 STREET,6
245 AVENUE C,9
245 EAST 124 STREET,9
245 EAST 35 STREET,13
245 EAST 40 STREET,13
245 EAST 50 STREET,4
245 EAST 58 STREET,4
245 EAST 63 STREET,3
245 EAST 78 STREET,0
245 EAST 93 STREET,1
245 JEFFERSON AVENUE,3
245 SOUTH 3 STREET,7
245 WEST 14 STREET,11
245 WEST 25 STREET,12
245 WEST 51 STREET,7
245 WEST 75 STREET,13
245 WEST 99 STREET,8
246 CARLTON AVENUE,10
246 EAST 110 STREET,13
246 EAST 51 STREET,4
246 JEFFERSON AVENUE,3
246 MONTROSE AVENUE,6
246 WEST 106 STREET,9
246 WEST 108 STREET,8
246 WEST 116 STREET,10
246 WEST 138 STREET,1
246 WEST 17 STREET,14
2461 FREDERICK DOUGLASS BLVD,11
247 12 STREET,5
247 6 AVENUE,3
247 EAST 33 STREET,3
247 LEFFERTS AVENUE,3
247 LINDEN BOULEVARD,4
247 MONTROSE AVENUE,5
247 N 7 STREET,10
247 SKILLMAN AVENUE,8
247 WEST 46 STREET,10
247 WEST 87 STREET,9
2474 FREDERICK DOUGLASS BOULEVARD,12
2475 WEST 16 STREET,4
2479 ARTHUR AVENUE,12
248 5 AVENUE,3
248 DEVOE STREET,9
248 DUFFIELD STREET,11
248 HANCOCK STREET,1
248 MC KIBBIN STREET,4
248 SHERMAN AVENUE,8
248 STAGG STREET,8
2480 ARTHUR AVENUE,11
2483 EAST 19 STREET,4
249 EAST 118 STREET,12
249 EAST 48 STREET,5
249 EAST KINGSBRIDGE RD,8
249 WEST END AVENUE,15
2490 FREDERICK DOUGLASS BLVD,12
25 5 AVENUE,19
25 BROAD STREET,20
25 BRUCKNER BLVD,8
25 CENTRAL PARK WEST,3
25 COLUMBUS CIRCLE,14
25 CONSELYEA STREET,13
25 EAST 10 STREET,14
25 EAST 67 STREET,4
25 EAST 86 STREET,3
25 FAYETTE STREET,7
25 FT WASHINGTON AVENUE,10
25 JAY STREET,11
25 KING STREET,15
25 MALCOLM X BOULEVARD,4
25 PARADE PLACE,8
25 PELL STREET,16
25 SKILLMAN AVENUE,11
25 TENNIS COURT,2
25 WASHINGTON STREET,15
25 WEST 13 STREET,16
25 WEST 132 STREET,12
25 WEST HOUSTON STREET,20
25-03 23 STREET,6
25-03 24 AVENUE,4
25-05 41 STREET,2
25-07 24 AVENUE,4
25-08 73 STREET,4
25-09 31 AVENUE,4
25-10 NEWTOWN AVENUE,6
25-11 42 STREET,2
25-11 45 STREET,1
25-12 14 PLACE,6
25-13 27 STREET,6
25-15 24 AVENUE,4
25-15 34 STREET,5
25-15 CRESCENT STREET,6
25-16 32 STREET,5
25-17 14 STREET,6
25-17 30 AVENUE,5
25-18 47 STREET,0
25-18 BROADWAY,5
25-20 BROADWAY,5
25-20 CRESCENT STREET,8
25-21 14 STREET,6
25-21 34 STREET,5
25-24 30 DRIVE,4
25-24 38 STREET,2
25-24 BROADWAY,5
25-27 36 STREET,4
25-27 ASTORIA BLVD SOUTH,6
25-28 18 STREET,6
25-30 30 ROAD,5
25-30 38 STREET,2
25-31 38 STREET,2
25-31 CRESCENT STREET,7
25-32 30 DRIVE,4
25-33 37 STREET,3
25-33 CRESCENT STREET,7
25-34 36 STREET,6
25-34 CRESCENT STREET,6
25-35 38 STREET,2
25-35 ASTORIA BLVD SOUTH,6
25-35 CRESCENT STREET,6
25-36 38 STREET,3
25-40 36 STREET,5
25-40 SHORE BOULEVARD,6
25-41 22 STREET,7
25-42 14 PLACE,6
25-42 18 STREET,6
25-42 STEINWAY STREET,2
25-43 38 STREET,2
25-44 CRESCENT STREET,7
25-47 14 STREET,7
25-48 35 STREET,4
25-48 44 STREET,2
25-50 30 ROAD,4
25-50 31 STREET,5
25-50 33 STREET,5
25-51 12 STREET,6
25-52 31 STREET,5
25-56 33 STREET,4
25-56 37 STREET,3
25-56 38 STREET,3
25-59 14 PLACE,7
25-59 23 STREET,7
25-59 STEINWAY STREET,2
25-60 45 STREET,0
25-61 43 STREET,1
25-61 46 STREET,0
25-61 47 STREET,1
25-62 41 STREET,2
25-64 38 STREET,3
25-65 36 STREET,3
25-66 12 STREET,7
25-67 36 STREET,4
25-68 37 STREET,4
25-70 36 STREET,3
25-71 23 STREET,8
25-71 31 STREET,5
25-72 43 STREET,1
25-73 45 STREET,0
25-75 22 STREET,7
25-76 41 STREET,2
25-76 43 STREET,1
25-80 38 STREET,3
25-81 49 STREET,1
25-83 49 STREET,1
25-85 36 STREET,3
25-89 36 STREET,3
25-89 37 STREET,3
25-90 36 STREET,4
25-98 STEINWAY STREET,3
250 3 AVENUE,12
250 BOWERY,11
250 CLARKSON AVENUE,3
250 EAST 3 STREET,11
250 EAST 30 STREET,7
250 EAST 33 STREET,3
250 EAST 40 STREET,2
250 EAST 49 STREET,5
250 EAST 53 STREET,6
250 EAST 54 STREET,7
250 EAST 65 STREET,2
250 EAST 73 STREET,1
250 EAST HOUSTON STREET,11
250 MELROSE STREET,5
250 NORTH 10 STREET,8
250 SOUTH END AVENUE,20
250 VAN BRUNT STREET,4
250 WEST 20 STREET,12
250 WEST 50 STREET,11
250 WEST 89 STREET,9
250 WEST 90 STREET,8
250 WEST STREET,19
2500 JOHNSON AVENUE,12
2501 NOSTRAND AVENUE,4
251 7TH STREET,4
251 90 STREET,2
251 BALTIC STREET,10
251 EAST 32 STREET,3
251 EAST 61 STREET,2
251 IRVING AVENUE,5
251 WEST 121 STREET,9
251 WEST 18 STREET,12
251 WEST 19 STREET,10
251 WEST 73 STREET,17
251 WEST 89 STREET,9
251 WEST 92 STREET,8
2515 GLENWOOD ROAD,2
2516 EAST 13 STREET,2
2517 VOORHIES AVENUE,4
252 1 AVENUE,9
252 22 STREET,7
252 7 AVENUE,12
252 EAST 57TH ST,4
252 GREENE AVENUE,6
252 KINGSLAND AVENUE,5
252 NORMAN AVENUE,3
252 RICHARDSON STREET,11
252 SCHENECTADY AVENUE,2
252 SKILLMAN AVENUE,7
252 WEST 11 STREET,15
252 WEST 136 STREET,7
252 WEST 47 STREET,9
252 WEST 91 STREET,8
2521 CLARENDON ROAD,2
2522 NEWKIRK AVENUE,1
2523 WEST 17 STREET,3
253 BUSHWICK AVENUE,6
253 EVERGREEN AVENUE,5
253 NASSAU AVENUE,4
253 NEWKIRK AVENUE,1
253 NORTH 8 STREET,5
253 WARREN STREET,9
253 WEST 139 STREET,7
253 WITHERS STREET,11
2530 FOSTER AVENUE,1
254 BROOME STREET,16
254 DE KALB AVENUE,11
254 PALMETTO STREET,7
254 PARK AVENUE SOUTH,11
254 PATCHEN AVENUE,6
254 QUENTIN ROAD,0
254 SOUTH 1 STREET,9
254 WEST 88 STREET,10
254 WYCKOFF STREET,8
2544A WHITE PLAINS ROAD,7
2548 EAST 27 STREET,3
255 62 STREET,1
255 AUDUBON AVENUE,13
255 BERRY STREET,10
255 EAST 49 STREET,5
255 EAST 74 STREET,2
255 EASTERN PARKWAY,9
255 HUDSON STREET,12
255 KINGSLAND AVENUE,4
255 SKILLMAN AVENUE,9
255 STOCKHOLM STREET,4
255 WEST 23 STREET,11
255 WEST 75 STREET,13
255 WEST 88TH ST,9
256 FIELDSTON TERRACE,5
256 OVINGTON AVENUE,3
256 WADSWORTH AVENUE,11
2560 BROADWAY,7
2566 OCEAN AVENUE,4
257 15 STREET,8
257 8 STREET,2
257 CHURCH STREET,16
257 FLATBUSH AVENUE,8
257 GOLD STREET,10
257 WEST 12 STREET,16
257 WYTHE AVENUE,8
2578 BEDFORD AVENUE,1
257A SUMPTER STREET,11
258 BUSHWICK AVENUE,6
258 DRIGGS AVENUE,8
258 EAST 91 STREET,3
258 JEFFERSON STREET,4
258 SAINT NICHOLAS AVENUE,10
258 SOUTH 1 STREET,9
258 WEST 12 STREET,15
258 WEST 123 STREET,10
2585A BAINBRIDGE AVENUE,8
259 92 STREET,3
259 KINGSLAND AVENUE,5
259 POWERS STREET,8
259 WEST 12 STREET,15
2593 FREDERICK DOUGLASS BLVD,8
26 4 STREET,6
26 BROADWAY,20
26 EAST 63 STREET,4
26 FAYETTE STREET,7
26 LEFFERTS PLACE,6
26 LEROY STREET,14
26 LUDLOW STREET,14
26 MESEROLE STREET,8
26 NASSAU STREET,20
26 SPRING STREET,16
26 ST JOHN'S PLACE,6
26 WEST 70 STREET,4
26 WEST STREET,8
26 WILLOW STREET,20
26-01 24 AVENUE,5
26-01 29 STREET,6
26-04 14 PLACE,8
26-05 28 STREET,6
26-20 30 STREET,5
26-22 18 STREET,7
26-25 28 STREET,6
26-26 JACKSON AVENUE,4
26-28 30 STREET,5
26-30 29 STREET,5
26-35 14 STREET,8
26-38 21ST STREET,7
26-42 28 STREET,6
260 15 STREET,8
260 BERGEN STREET,8
260 DEVOE STREET,8
260 FIELDSTON TERRACE,6
260 MOORE STREET,4
260 PARK AVENUE SOUTH,11
260 WEST 54 STREET,0
2600 NETHERLAND AVENUE,9
261 1 AVENUE,15
261 14 STREET,8
261 BAY 17 STREET,4
261 VAN BRUNT STREET,5
261 WEST 25 STREET,9
261 WEST 28 STREET,9
2610 GLENWOOD ROAD,2
2611 WEST 2 STREET,1
2612 WEST 2 STREET,0
262 56 STREET,0
262 CENTRAL PARK WEST,3
262 CLIFTON PLACE,6
262 MOTT STREET,12
2628 BROADWAY,8
263 EASTERN PARKWAY,8
263 LINDEN STREET,6
263 POWERS STREET,8
263 TROY AVENUE,3
263 VERNON AVENUE,9
264 DEVOE STREET,8
264 LINDEN STREET,7
264 SARATOGA AVENUE,9
264 STAGG STREET,8
2643 HUBBARD STREET,3
2644 BROADWAY,8
2649 FREDERICK DOUGLASS BLVD,9
265 1 AVENUE,15
265 89 STREET,2
265 EAST 66 STREET,2
265 NOSTRAND AVENUE,4
265 OCEAN AVENUE,10
265 WEST 138 STREET,6
2659 CONEY ISLAND AVENUE,2
266 62 STREET,1
266 DEAN STREET,8
266 EAST 10 STREET,15
266 STAGG STREET,8
267 BAY 17 STREET,4
267 CLARKSON AVENUE,3
267 FLATBUSH AVENUE,6
267 PACIFIC STREET,7
268 72 STREET,3
268 DEVOE STREET,8
268 FRANKLIN STREET,8
268 HANCOCK STREET,2
269 7 AVENUE,4
269 EAST 10 STREET,15
269 NASSAU AVENUE,3
27 CROOKE AVENUE,8
27 DODWORTH STREET,4
27 EAST 7 STREET,14
27 HAWTHORNE STREET,6
27 HOPE STREET,12
27 MONTGOMERY PLACE,8
27 WEST 60 STREET,12
27 WEST 71 STREET,5
27 WEST 72 STREET,20
27 WEST 96 STREET,9
27 WOOSTER STREET,18
27-01 ASTORIA BOULEVARD,6
27-02 ASTORIA BOULEVARD,6
27-03 42 ROAD,5
27-04 HOYT AVENUE SOUTH,6
27-07 23 AVENUE,5
27-14 27 STREET,6
27-15 NEWTOWN AVENUE,5
27-16 12 STREET,8
27-18 HOYT AVENUE SOUTH,6
27-19 44 DRIVE,0
27-21 44 DRIVE,5
27-28 THOMSON AVENUE,5
27-31 CRESCENT STREET,6
27-40 21 STREET,7
27-51 CRESCENT STREET,5
27-63 CRESCENT STREET,6
270 1 AVENUE,9
270 9 STREET,2
270 BROADWAY,18
270 CLARKSON AVENUE,3
270 THROOP AVENUE,6
270 UNION STREET,9
270 WEST 19 STREET,12
2700 BRONX PARK EAST,6
2700 GRAND CONCOURSE,7
2700 HENRY HUDSON PKWY E,8
2701 BROADWAY,8
2701 OCEAN AVENUE,3
2705 BAINBRIDGE AVENUE,8
2705 KINGS HIGHWAY,2
2709 BROADWAY,9
2709 DECATUR AVENUE,5
270A 9 STREET,2
271 6 STREET,3
271 AVENUE C,9
271 DEVOE STREET,7
271 NEW YORK AVENUE,2
271 PARKSIDE AVENUE,5
271 UNION STREET,8
271 WEST 125 STREET,8
271 WEST 144 STREET,10
271 WEST 47 STREET,9
2715 FARRAGUT ROAD,2
2716 MARION AVENUE,7
2717 SNYDER AVENUE,2
272 1 AVENUE,9
272 9 STREET,2
272 BERKELEY PLACE,7
272 CLIFTON PLACE,6
272 HIMROD STREET,5
272 LINCOLN PLACE,10
272 STAGG STREET,7
272 WEST 107TH STREET,8
272 WEST 238 STREET,10
2723 WEST 16 STREET,3
2725 MORRIS AVENUE,11
2727 HENRY HUDSON PKWY W,8
2727 HOMECREST AVENUE,4
2728 HENRY HUDSON PKWY E,7
273 18 STREET,6
273 76 STREET,1
273 ALBANY AVENUE,4
273 LEONARD STREET,11
273 NOSTRAND AVENUE,4
273 SOUTH 2 STREET,9
273 WEST 138 STREET,7
273 WEST 140 STREET,7
273 WEST 73 STREET,16
2731 BROADWAY,8
2733 BROADWAY,8
274 EAST 4 STREET,11
274 JEFFERSON STREET,5
274 WEST 11 STREET,15
2740 EAST 26 STREET,3
275 CENTRAL PARK WEST,2
275 CONOVER STREET,4
275 EAST 35 STREET,0
275 GREENWICH STREET,20
275 HALSEY STREET,5
275 LEONARD STREET,12
275 MENAHAN STREET,5
275 MONTGOMERY STREET,3
275 PARK AVENUE,7
275 WEST 96 STREET,10
2750 EAST 26 STREET,3
2750 HOMECREST AVENUE,4
2753 BRIGGS AVENUE,7
2753 BROADWAY,8
2759 BRONXWOOD AVENUE,3
276 NOSTRAND AVENUE,7
276 PROSPECT PARK WEST,10
276 RIVERSIDE DRIVE,7
276 WEST 11 STREET,15
277 AVENUE C,9
277 DEVOE STREET,7
277 EASTERN PARKWAY,7
277 WEST END AVENUE,14
2775 EAST 12TH STREET,4
2775 EAST 16 STREET,4
278 TROUTMAN STREET,6
278 WEST 117 STREET,9
2783 BROADWAY,5
279 21 STREET,6
279 BEDFORD AVENUE,11
279 E 44 STREET,2
279 MOTT STREET,13
279 NORTH 6 STREET,11
279 PROSPECT AVENUE,7
2790 BRAGG STREET,2
2796 COYLE STREET,2
28 CONSELYEA STREET,12
28 FILLMORE PLACE,12
28 LAIGHT STREET,18
28 MARINE AVENUE,4
28 SCHOLES STREET,10
28 ST MARK'S PLACE,14
28 WEST 73 STREET,20
28 WEST 96 STREET,9
28-02 23 AVENUE,5
28-02 33 AVENUE,4
28-02 STEINWAY STREET,2
28-05 33 AVENUE,4
28-05 43 STREET,1
28-05 ASTORIA BOULEVARD,6
28-05 NEWTOWN AVENUE,5
28-08 23 AVENUE,5
28-08 30 STREET,4
28-08 35 STREET,3
28-12 37 STREET,3
28-16 30 STREET,5
28-18 41 STREET,2
28-18 STEINWAY STREET,2
28-19 23 AVENUE,3
28-20 29 STREET,6
28-21 33 STREET,4
28-22 ASTORIA BOULEVARD,6
28-24 38 STREET,3
28-24 42 STREET,1
28-25 33 STREET,3
28-25 34 STREET,3
28-25 ASTORIA BOULEVARD,6
28-28 29 STREET,6
28-32 35 STREET,3
28-32 45 STREET,2
28-34 46 STREET,2
28-38 49 STREET,1
28-39 46 STREET,1
28-40 34 STREET,3
28-40 38 STREET,3
28-40 49 STREET,1
28-42 38 STREET,3
28-42 42 STREET,2
28-43 38 STREET,3
28-45 33 STREET,3
28-46 34 STREET,3
28-48 38 STREET,3
28-49 33 STREET,3
28-49 46 STREET,2
280 1 AVENUE,9
280 ASHLAND PLACE,11
280 EAST 2 STREET,4
280 METROPOLITAN AVENUE,11
280 MONTGOMERY STREET,2
280 PARK AVENUE SOUTH,11
280 PUTNAM AVENUE,4
280 RECTOR PLACE,20
280 RIVERSIDE DRIVE,7
280 WEST 117 STREET,9
2809 BRAGG STREET,2
281 24 STREET,6
281 AVENUE C,9
281 DEVOE STREET,7
281 UNION AVENUE,10
2815 COYLE STREET,2
2815 OCEAN PARKWAY,3
2815 WEST 37 STREET,3
2819 TILDEN AVENUE,1
282 CABRINI BOULEVARD,6
282 EAST 2 STREET,4
2823 ALBEMARLE ROAD,1
283 22 STREET,6
283 ALBANY AVENUE,3
283 SMITH STREET,7
2838 BRONX PARK EAST,6
284 5 AVENUE,12
2843 86 STREET,5
285 6 AVENUE,2
285 BEDFORD AVENUE,13
285 DIVISION AVENUE,6
285 DRIGGS AVENUE,8
285 FT WASHINGTON AVENUE,11
2856 BRONX PARK EAST,6
2858 STILLWELL AVENUE,7
286 5 AVENUE,4
286 BLEECKER STREET,5
286 CLINTON AVENUE,10
286 FT WASHINGTON AVENUE,12
286 SULLIVAN PLACE,1
286 UNION AVENUE,13
286 WEST END AVENUE,14
287 3 AVENUE,13
287 EVERGREEN AVENUE,5
287 HARMAN STREET,5
287 KOSCIUSZKO STREET,5
287 MCGUINNESS BLVD,4
287 TROUTMAN STREET,6
287-289 BEDFORD AVENUE,12
288 3 AVENUE,4
288 6 STREET,3
288 LEXINGTON AVENUE,11
288 MC GUINNESS BLVD,3
288 WEST 12 STREET,15
288A NASSAU AVENUE,3
2894 HEATH AVENUE,10
29 2 AVENUE,12
29 2 PLACE,8
29 ADRIAN AVENUE,11
29 HAWTHORNE STREET,6
29 MONTROSE AVENUE,8
29 TIFFANY PLACE,9
29 WEST 12 STREET,15
29 WEST 65 STREET,3
29 WOODHULL STREET,4
29-07 DITMARS BOULEVARD,3
29-19 213 STREET,3
29-27 24 AVENUE,6
290 1/2 HARMAN STREET,5
290 3 AVENUE,13
290 HAWTHORNE STREET,3
290 HERKIMER STREET,7
290 RIVERSIDE DRIVE,8
290 STOCKHOLM STREET,4
2901 AVENUE J,2
291 3 AVENUE,3
291 CHERRY STREET,12
291 MAC DOUGAL STREET,8
291 ONDERDONK AVENUE,2
291 PLEASANT AVENUE,8
291 STANHOPE STREET,4
291 STOCKHOLM STREET,4
291 WEST 4 STREET,15
2913 FOSTER AVENUE,1
2916 AVENUE R,3
292 ATLANTIC AVENUE,8
292 LINCOLN PLACE,11
292 WILSON AVENUE,5
2920 86 STREET,5
293 FRANKLIN AVENUE,4
293 GRAND AVENUE,5
294 GRAHAM AVENUE,11
294 ST JAMES PLACE,8
294 WEST 92 STREET,8
294 WILLOUGHBY AVENUE,5
2940 OCEAN PARKWAY,3
295 3 AVENUE,3
295 9 STREET,1
295 CLINTON AVENUE,9
295 CONVENT AVENUE,12
295 DE GRAW STREET,7
295 EAST 149 STREET,6
295 GRAHAM AVENUE,11
295 GREENWICH STREET,20
295 PACIFIC STREET,8
295 PARKSIDE AVENUE,5
295 WYCKOFF AVENUE,6
2955 SHELL ROAD,4
296 CLINTON STREET,5
296 COVERT STREET,4
296 HALSEY STREET,4
296 POWERS STREET,7
296 THROOP AVENUE,4
2961 MARION AVENUE,5
297 COLUMBIA STREET,6
297 LENOX ROAD,3
297 LIVINGSTON STREET,13
298 1 STREET,4
298 LEONARD STREET,11
299 7 AVENUE,7
299 EAST 139 STREET,12
299 HART STREET,7
299 THROOP AVENUE,5
299 WEST 12 STREET,16
2995 BOTANICAL SQUARE,6
3 CLINTON STREET,11
3 EAST 115 STREET,7
3 HERKIMER PLACE,2
3 LEXINGTON AVENUE,6
3 PULASKI STREET,4
3 QUINCY STREET,7
3 WEST 102 STREET,12
3 WEST 137 STREET,11
3 WEST 36 STREET,13
3 WEST 87 STREET,2
30 4 PLACE,9
30 BAYARD STREET,12
30 CHEEVER PLACE,8
30 CHRISTOPHER STREET,17
30 COVERT STREET,5
30 DANIEL LOW TERRACE,10
30 DRIGGS AVENUE,6
30 EAST 14 STREET,13
30 EAST 37 STREET,2
30 EAST 85 STREET,2
30 EAST 95 STREET,10
30 EAST END AVENUE,1
30 HICKS STREET,20
30 LEFFERTS AVENUE,9
30 LEXINGTON AVENUE,15
30 MAIN STREET,17
30 MONROE PLACE,20
30 PARK PLACE,20
30 PARK TERRACE EAST,8
30 RIVER ROAD,4
30 ROGERS AVENUE,1
30 SAINT FELIX STREET,13
30 WASHINGTON STREET,15
30 WATERSIDE PLAZA,5
30 WEST 60 STREET,11
30 WEST 63 STREET,18
30 WEST STREET,20
30-01 29 STREET,4
30-01 31 AVENUE,4
30-01 39 AVENUE,2
30-02 BROADWAY,4
30-03 NEWTOWN AVENUE,4
30-05 NEWTOWN AVENUE,4
30-11 21 STREET,7
30-11 34 STREET,3
30-11 49 STREET,1
30-13 30 STREET,4
30-15 30 STREET,4
30-15 33 STREET,3
30-17 49 STREET,1
30-17 86 STREET,10
30-18 ASTORIA BOULEVARD,5
30-22 32 STREET,3
30-23 23 STREET,7
30-26 35 STREET,3
30-26 49 STREET,1
30-29 48 STREET,2
30-30 30 STREET,4
30-31 34 STREET,3
30-32 38 STREET,3
30-32 41 STREET,4
30-32 WEST 9TH STREET,20
30-33 32 STREET,3
30-34 49 STREET,1
30-35 14 STREET,7
30-36 34 STREET,3
30-37 30 STREET,4
30-38 48 STREET,2
30-39 44 STREET,2
30-40 21 STREET,7
30-40 32 STREET,3
30-40 42 STREET,3
30-40 48 STREET,2
30-41 73 STREET,6
30-43 14 STREET,6
30-43 41 STREET,4
30-44 29 STREET,4
30-47 34 STREET,3
30-47 35 STREET,0
30-48 12 STREET,6
30-50 23 STREET,6
30-50 30 STREET,4
30-50 41 STREET,4
30-50 42 STREET,3
30-54 33 STREET,3
30-55 33 STREET,3
30-55 43 STREET,4
30-55 47 STREET,2
30-56 30 STREET,4
30-58 34 STREET,3
30-58 36 STREET,3
30-60 44 STREET,3
30-60 47 STREET,2
30-60 48 STREET,2
30-63 38 STREET,3
30-64 41 STREET,4
30-66 44 STREET,3
30-67 14 STREET,6
30-70 48 STREET,2
30-71 33 STREET,3
30-72 29 STREET,4
30-74 30 STREET,4
30-74 32 STREET,4
30-74 36 STREET,3
30-74 48 STREET,2
30-75 33 STREET,3
30-75 43 STREET,3
30-76 38 STREET,3
30-77 38 STREET,3
30-78 34 STREET,3
30-80 21 STREET,6
30-81 38 STREET,3
30-82 33 STREET,3
30-83 29 STREET,4
30-83 30 STREET,4
30-83 32 STREET,4
30-83 47 STREET,2
30-84 34 STREET,3
30-84 50 STREET,3
30-85 VERNON BOULEVARD,5
30-86 37 STREET,3
30-87 32 STREET,4
30-87 33 STREET,3
30-89 38 STREET,3
30-90 42 STREET,4
30-91 48 STREET,3
30-91 CRESCENT STREET,4
30-94 CRESCENT STREET,5
30-96 32 STREET,4
30-99 47 STREET,3
300 5 AVENUE,4
300 ALBANY AVENUE,3
300 ALBANY STREET,20
300 BURNS STREET,5
300 EAST 23 STREET,11
300 EAST 33 STREET,3
300 EAST 34 STREET,3
300 EAST 39 STREET,12
300 EAST 40TH STREET,3
300 EAST 51 STREET,5
300 EAST 55 STREET,4
300 EAST 59 STREET,5
300 EAST 62 STREET,4
